Year,Anniversary,Age,Contribution,AV Pre-Fee,Fund1-Pre-Fee,Fund2 Pre-Fee,M&E/Fund Fees,AV Pre-Withdrawal,Fund1 Pre-Withdrawal,Fund2 Pre-Withdrawal,Withdrawal Amount,AV Post-Withdrawal,Fund1 Post-Withdrawal,Fund2 Post-Withdrawal,Rider Charge,AV Post Charges,Fund1 Post-Charges,Fund2 Post-Charges,Death Payments,AV Post-Death Claims,Fund1 Post-Death Claims,Fund2 Post-Death Claims,Fund1 Post-Rebalance,Fund2 Post-Rebalance,ROP Death Base,NAR Death Claims,Death Benefit Base,Withdrawal Base,Withdrawal Amount,Cumulative Withdrawal,Max Annual Withdrawal,Max Annual Withdrawal Rate,Eligible StepUp,Growth Phase,AutoMatic Period Benefit Status,Last Death,Fund1 Returns,Fund2 Returns,Rebalance Indicator,DF,qx
0,Anniversary,60,0,80000,16000,64000,0,80000,16000,64000,0,80000,16000,64000,0,80000,16000,64000,0,80000,16000,64000,16000,64000,100000,0,100000,100000,0,0,0,0,0,0,0,0,3,0,0,1,0.5
1,Anniversary,61,0,82400,16480,65920,1240,81160,16232,64928,0,81160,16232,64928,689.86,80470.1,16094,64376.1,500,79970.1,15994,63976.1,15994,64476.1,99500,0,97570.1,107520,0,0,0,0,1,1,0,0,3,3,0,0.970874,0.5
2,Anniversary,62,0,82884.2,16473.8,66410.4,1239.54,81644.7,16227.5,65417.2,0,81644.7,16227.5,65417.2,693.98,80950.7,16089.5,64861.2,497.5,80453.2,15990.7,64462.6,15990.7,64960.1,99002.5,0,95148.8,115747,0,0,0,0,1,1,0,0,3,3,0,0.942596,0.5
3,Anniversary,63,0,83379.2,16470.4,66908.9,1247.03,82132.2,16224.1,65908.2,0,82132.2,16224.1,65908.2,698.124,81434.1,16086.1,65348,495.012,80939.1,15988.4,64950.7,15988.4,65445.7,98507.5,0,92727.9,124740,0,0,0,0,1,1,0,0,3,3,0,0.915142,0.5
4,Anniversary,64,0,83877.1,16468,67409.1,1254.56,82622.6,16221.7,66400.9,0,82622.6,16221.7,66400.9,702.292,81920.3,16083.8,65836.5,492.537,81427.7,15987.1,65440.6,15987.1,65933.2,98015,0,90307.4,134571,0,0,0,0,1,1,0,0,3,3,0,0.888487,0.5
5,Anniversary,65,0,84377.9,16466.7,67911.2,1262.13,83115.8,16220.4,66895.3,0,83115.8,16220.4,66895.3,706.484,82409.3,16082.5,66326.7,490.075,81919.2,15986.9,65932.3,15986.9,66422.4,97524.9,0,87887.2,145320,0,0,0,0,1,1,0,0,3,3,0,0.862609,0.5
6,Anniversary,66,0,84881.5,16466.5,68415,1269.75,83611.8,16220.2,67391.6,0,83611.8,16220.2,67391.6,710.7,82901.1,16082.3,66818.8,487.624,82413.5,15987.7,66425.8,15987.7,66913.4,97037.3,0,85467.4,157072,0,0,0,0,1,1,0,0,3,3,0,0.837484,0.5
7,Anniversary,67,0,85388.1,16467.4,68920.8,1277.41,84110.7,16221,67889.7,0,84110.7,16221,67889.7,714.941,83395.8,16083.1,67312.7,485.186,82910.6,15989.6,66921,15989.6,67406.2,96552.1,0,83047.7,169923,0,0,0,0,1,1,0,0,3,3,0,0.813092,0.5
8,Anniversary,68,0,85897.7,16469.2,69428.4,1285.11,84612.5,16222.8,68389.7,0,84612.5,16222.8,68389.7,719.207,83893.3,16085,67808.4,482.76,83410.6,15992.4,67418.2,15992.4,67900.9,96069.3,0,80628.1,183976,0,0,0,0,1,1,0,0,3,3,0,0.789409,0.5
9,Anniversary,69,0,86410.1,16472.2,69938,1292.86,85117.3,16225.7,68891.6,0,85117.3,16225.7,68891.6,723.497,84393.8,16087.8,68306,480.347,83913.4,15996.2,67917.2,15996.2,68397.6,95589,0,78208.6,199346,0,0,0,0,1,1,0,0,3,3,0,0.766417,0.5
10,Anniversary,70,0,86925.6,16476.1,70449.5,1300.66,85624.9,16229.6,69395.4,0,85624.9,16229.6,69395.4,727.812,84897.1,16091.6,68805.5,477.945,84419.2,16001,68418.1,16001,68896.1,95111,0,75789.1,216155,0,0,0,0,1,1,0,0,3,3,0,0.744094,0.5
